"stopTag","stopName","latitude","longitude","routeTags"
"291","Dufferin St At Yorkdale Rd","43.72653","-79.45736","47,29,329"
"9230","Sheppard Ave East At Meadowvale Rd West Side","43.80829","-79.1716","385,985,85"
"4723","Kennedy Rd At Finch Ave East","43.80108","-79.2962","343,43"
"6274","Rogers Rd At Old Weston Rd East Side","43.68199","-79.46666","161"
"10404","791 Islington Ave","43.6168","-79.51029","110,337"
"9722","Caledonia Rd At Bowie Ave North Side","43.69518","-79.4628","47"
"4601","Royal York Rd At The Queensway","43.62621","-79.50242","15,315,76"
"1417","Martin Grove Rd At Bethridge Rd North Side","43.70785","-79.57813","46"
"3074","Christie St At Essex St South Side","43.66813","-79.42026","126"
"3709","Attwell Dr At Carlson Crt","43.68919","-79.58719","112,927"
"600","Old Weston Rd At St Clair Ave West North Side","43.67395","-79.46306","341,168,941,41"
"498","The Queensway At Windermere Ave West Side","43.63731","-79.47047","77,80"
"706","Steeles Ave East At Don Mills Rd","43.81136","-79.36055","353,953,53"
"2873","Birchmount Rd At Foxridge Dr South Side","43.72154","-79.2745","17"
"4510","Grandravine Dr At Gambello Cres","43.7504","-79.49789","108"
"4919","Islington Ave At Norseman St","43.63431","-79.51931","110,337"
"1792","Finch Ave East At Cherokee Blvd","43.79355","-79.33671","39,339"
"1181","Keele St At Annette St","43.66386","-79.46402","341,89,189,41"
"4721","Caledonia Rd At Lawrence Ave West","43.71166","-79.46672","47"
"14822","Kipling Station","43.63847","-79.53469","945"
"1170","Sheppard Ave West At Arrow Rd West Side","43.73572","-79.52981","84,384"
"8639","Bloor St West At Brunswick Ave","43.66582","-79.40755","300"
"2558","Faywood Blvd At Dresden Rd","43.7414","-79.44805","104"
"453","Lawrence Ave West At Weston Rd - Weston Go Station","43.70028","-79.51601","352,79,52"
"9063","St Clair Ave West At Christie St","43.68182","-79.42562","312,512"
"1299","Lake Shore Blvd West At Miles Rd","43.60799","-79.49026","301,501,76"
"14730","1107 Avenue Rd - Marshall McLuhan Secondary School","43.70804","-79.40912","32"
"7868","Progress Ave At William Kitchen Rd West Side","43.77016","-79.27927","43"
"3670","Steeles Ave West At Futurity Gate","43.78636","-79.47456","353,60"
"6257","1801 O'Connor Dr","43.72033","-79.30415","70"
"2834","West Service Rd At St Albans Rd North Side","43.63936","-79.53474","44"
"6514","New Westminster Dr At Katerina Ave","43.81147","-79.45741","160"
"1167","Wilson Ave At Yonge Blvd","43.74144","-79.41515","396,165,96"
"352","Ellesmere Rd At Pharmacy Ave","43.75885","-79.31044","995,996,95,395"
"6510","Kingston Rd At Ravine Dr","43.73163","-79.22481","12,102,86"
"5811","Lansdowne Ave At Rideau Ave","43.64663","-79.43891","47"
"8673","Howard Park Ave At Parkside Dr East Side","43.64905","-79.45739","506"
"15226","Birchmount Rd At Citizen Crt","43.84198","-79.32116","17"
"5814","395 Passmore Ave","43.82909","-79.25692","42"
"8851","Dufferin St At Brandon Ave","43.67032","-79.43972","29,329"
"10185","Eglinton Ave West At Old Park Rd","43.69999","-79.4307","332,32"
"2817","Bathurst St At York Downs Dr","43.74707","-79.43628","7,307,160"
"1149","Davisville Ave At Yonge St East Side","43.69832","-79.3962","11,28"
"7972","Wellesworth Dr At Gentian Dr","43.66538","-79.58145","112"
"9704","Glencairn Ave At Capitol Ave","43.70782","-79.44963","14"
"4674","125 Bermondsey Rd","43.7182","-79.31373","91"
"837","Steeles Ave West At Bathurst St East Side","43.79256","-79.44456","7,307"
"3862","Islington Ave At Gosfield Gate","43.72574","-79.55992","37,337,937"
"6249","Drewry Ave At Bathurst St","43.78116","-79.44451","125"
"8966","Warden Ave At Glen Springs Dr","43.80467","-79.32035","68,324"
"5437","Steeprock Dr At Chesswood Dr","43.75741","-79.47487","107"
"8367","Rockcliffe Blvd At Alliance Ave","43.67675","-79.48921","71"
"5035","Arcot Blvd At Albion Rd East Side","43.72696","-79.55136","118"
"4615","Bloor St West At Montrose Ave","43.662918","-79.42099","300"
"9461","Dundas St West At Royalavon Cres East Side","43.64572","-79.53135","40"
